SKU,ID,longDescription__default,name__default,category-id,amount,currency,onlineFlag__default,variants,lastModified_date,variation_attributes,size,color,product_kind
25493587M,25493587M,We took this classic shell and updated it with this season's favorite colors.,Scoop Neck Shell,dresses,28.99,USD,TRUE,701642837886M;701642837923M;701642837947M;701642837893M;701642837909M;701642837930M;701642837916M;,2025-07-16T10:35:12.000Z,"Size,Color",,,master
013742003154M,013742003154M,Drop earring with beautiful greens and blues stones with silver beads. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Cluster Drop Earring,,26,USD,TRUE,,2025-06-30T14:28:57.000Z,"Color",010,JJG03XX,variant
013742000207M,013742000207M,Pink brown and a bit of worn gold in this simply slip on elegant necklace. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Pink and Brown Slip On,,68,USD,TRUE,,2025-06-30T14:28:47.000Z,"Color",010,JJ887XX,variant
013742000238M,013742000238M,Pink brown and a bit of worn gold coalesce in this simply elegant bracelet. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Pink and Brown Bracelet,,60,USD,TRUE,,2025-06-30T14:28:32.000Z,"Color",010,JJ887XX,variant
013742000252M,013742000252M,This classic styled button earring is the perfect way to add a little color to your wardrobe. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Bronze Clip On Button Earring,,20,USD,TRUE,,2025-06-30T14:28:22.000Z,"Color",010,JJNY2XX,variant
013742000269M,013742000269M,Dress up any outfit with these silver chandler earring. The light green and brown beads add a little bit of color for a perfect look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Silver Chandler Earring,,30,USD,TRUE,,2025-06-30T14:29:21.000Z,"Color",010,JJNY2XX,variant
013742000283M,013742000283M,Green and Brown beads create a stunning collar effect on this silver metal necklace with toggle closure. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Green and Brown Beaded Frontal Collar Necklace,,40,USD,TRUE,,2025-06-30T14:28:38.000Z,"Color",010,JJNY2XX,variant
013742000320M,013742000320M,Green and Brown beads create a stunning effect on this silver metal bracelet with toggle closure. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Green and Brown Beaded Frontal Collar Bracelet,,36,USD,TRUE,,2025-06-30T14:28:30.000Z,"Color",010,JJNY2XX,variant
013742000344M,013742000344M,Brighten your day with this silver button earrings. Pair with its matching necklace and enjoy them all year round. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Silver Button Earrings,,22,USD,TRUE,,2025-06-30T14:28:16.000Z,"Color",010,JJNY2XX,variant
013742000443M,013742000443M,Brighten your day with this silver and purple button bracelet. Pair with its matching necklace and enjoy them all year round. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Silver and Purple Button Bracelet,,38,USD,TRUE,,2025-06-30T14:28:58.000Z,"Color",010,JJNY2XX,variant
013742002423M,013742002423M,An Instant in glam; pair with matching bracelet for a perfect look! Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Worn Gold Curved Earring,,18,USD,TRUE,,2025-06-30T14:28:53.000Z,"Color",010,JJ887XX,variant
013742002454M,013742002454M,An Instant in glam; pair with matching necklace for a perfect look! Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Worn Gold Hoop Earring,,20,USD,TRUE,,2025-06-30T14:28:31.000Z,"Color",010,JJ887XX,variant
013742002485M,013742002485M,An Instant in glam; pair with matching earrings for a perfect look! Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Worn Gold Necklace,,38,USD,TRUE,,2025-06-30T14:28:58.000Z,"Color",010,JJ887XX,variant
013742002522M,013742002522M,An Instant in glam; pair with matching earring for a perfect look! Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Worn Gold Cuff Bracelet,,38,USD,TRUE,,2025-06-30T14:29:06.000Z,"Color",010,JJ887XX,variant
013742002560M,013742002560M,Beautiful 3 Stone drop earring. Guaranteed to polish any look! Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Pink Quartz Dangle Earring,,24,USD,TRUE,,2025-06-30T14:29:07.000Z,"Color",010,JJ887XX,variant
013742002577M,013742002577M,The perfect accessory starts with an amazing earring and ends with a complete look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Pink Quartz Hoop Earring,,32,USD,TRUE,,2025-06-30T14:29:12.000Z,"Color",010,JJ887XX,variant
013742002607M,013742002607M,Commerce Cloud creates timeless classic jewelry that can be worn day or night. This amazing beaded necklace with wrapped design and toggle closure is a sure way to update your wardrobe. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Pink Quartz Necklace,,50,USD,TRUE,,2025-06-30T14:28:24.000Z,"Color",010,JJ887XX,variant
013742002669M,013742002669M,Dress any outfit up with these dangle hoop earring. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Dangle Hoop Earring,,26,USD,TRUE,,2025-06-30T14:29:16.000Z,"Color",010,JJ887XX,variant
013742002690M,013742002690M,These clip on double hoop earring dresses up any outfit with ease and perfection. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Double Hoop Clip On Earring,,28,USD,TRUE,,2025-06-30T14:28:34.000Z,"Color",010,JJ887XX,variant
25448064M,25448064M,Brighten your day with this beautiful blue button necklace. Pair with its matching earring and enjoy them all year round. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Light Hematite Necklace,jewelry,44,USD,TRUE,013742335422M;,2025-07-16T08:20:58.000Z,"Color",,,master
013742002805M,013742002805M,Be a hit at your next BBQ with this turquoise and gold necklace. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch. ,Turquoise and Gold Necklace,,45,USD,TRUE,,2025-06-30T14:28:54.000Z,"Color",010,JJ887XX,variant
013742002836M,013742002836M,Pair with matching earring or necklace for a complete look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch. ,Turquoise and Gold Bracelet,,38,USD,TRUE,,2025-06-30T14:28:54.000Z,"Color",010,JJ887XX,variant
39287796-d9ab-4907-8b9b-c6ce2aabd483,39287796-d9ab-4907-8b9b-c6ce2aabd483,An enveloping mist that fragrances the hair with the floral notes of CHANCE. A sophisticated highly delicate way to revive and prolong the fragrance trail throughout the day.,CHANCE,perfurme,690000,USD,TRUE,,2025-07-16T11:14:19.000Z,,,,master
25448066M,25448066M,Brighten your day with this beautiful blue button clip-on earrings. Pair with a classic white scoop necklace and enjoy them all year round. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Light Hematite Button Clip-on Earrings,jewelry,18,USD,TRUE,013742335484M;,2025-07-16T08:20:58.000Z,"Color",,,master
013742002881M,013742002881M,Update any outfit with these hoop earring. Pair with its matching stretch bangle to complete your look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch. ,Hoop Clip On Earring,,26,USD,TRUE,,2025-06-30T14:28:53.000Z,"Color",010,JJ887XX,variant
013742002898M,013742002898M,This chic gold necklace is a great way to lift your spirits. Elegant circular design with toggle necklace closure. Pair with a cardigan or dress. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch. ,Drop Necklace,,38,USD,TRUE,,2025-06-30T14:28:47.000Z,"Color",010,JJ887XX,variant
25448068M,25448068M,Brighten your day with this beautiful light hermatite dangle earrings. Pair with its matching earring and enjoy them all year round. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Light Hematite Dangle Earrings,jewelry,24,USD,TRUE,013742335514M;,2025-07-16T08:20:58.000Z,"Color",,,master
013742002928M,013742002928M,Update any outfit with this stretch bangle. Pair with its matching stretch bangle to complete your look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch. ,Gold Stretch Bangle,,38,USD,TRUE,,2025-06-30T14:28:41.000Z,"Color",010,JJ887XX,variant
013742002997M,013742002997M,Dress any outfit up with this stretch bracelet in worn silver. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Infinity Stretch Worn Silver Bracelet,,40,USD,TRUE,,2025-06-30T14:29:07.000Z,"Color",010,JJG03XX,variant
013742003031M,013742003031M,This classic styled button earring is the perfect way to update your wardrobe. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Gold Button Earring,,20,USD,TRUE,,2025-06-30T14:29:17.000Z,"Color",010,JJ887XX,variant
013742003048M,013742003048M,Pair with matching earring for a complete look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Worn Gold Stretch Bracelet,,38,USD,TRUE,,2025-06-30T14:28:26.000Z,"Color",010,JJ887XX,variant
11736753M,11736753M,New: 70% cotton 30% polyestershort bomber jacketstand up collar with tab and button detailingfront zip closurestrip elastic hem detailingdry clean only,Summer Bomber Jacket ,mencasuals,315,USD,TRUE,883360541099M;883360541075M;883360541068M;883360541082M;883360541112M;883360541105M;,2025-07-24T13:34:06.000Z,"Size,Color",,,master
21736758M,21736758M,85% cotton 11% poly amid 4% elastanetwo-buttonhalf lineddouble vented with welt pocketsinside vertical pocketfunctional button cuffsdry clean only,Two Button Sport Coat,mencasuals,475,USD,TRUE,883360541280M;883360541273M;883360541266M;883360541297M;883360541259M;883360541303M;883360541310M;,2025-07-24T13:34:06.000Z,"Size,Color",,,master
008884303996M,008884303996M,Love our easy care solid shirting? Then give our stripes a try! This subtle blue stripe is a nice option to have in your closet for workplace wear and it even has a bit of stretch for extra comfort.,Platinum Blue Stripes Easy Care Fitted Shirt,,75,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",012,JJV61XX,variant
008884304009M,008884304009M,Love our easy care solid shirting? Then give our stripes a try! This subtle blue stripe is a nice option to have in your closet for workplace wear and it even has a bit of stretch for extra comfort.,Platinum Blue Stripes Easy Care Fitted Shirt,,99.99,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",014,JJV61XX,variant
008884304016M,008884304016M,Love our easy care solid shirting? Then give our stripes a try! This subtle blue stripe is a nice option to have in your closet for workplace wear and it even has a bit of stretch for extra comfort.,Platinum Blue Stripes Easy Care Fitted Shirt,,75,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",16,JJV61XX,variant
008884304023M,008884304023M,Love our easy care solid shirting? Then give our stripes a try! This subtle blue stripe is a nice option to have in your closet for workplace wear and it even has a bit of stretch for extra comfort.,Platinum Blue Stripes Easy Care Fitted Shirt,,75,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",004,JJV61XX,variant
008884304030M,008884304030M,Love our easy care solid shirting? Then give our stripes a try! This subtle blue stripe is a nice option to have in your closet for workplace wear and it even has a bit of stretch for extra comfort.,Platinum Blue Stripes Easy Care Fitted Shirt,,75,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",006,JJV61XX,variant
008884304047M,008884304047M,Love our easy care solid shirting? Then give our stripes a try! This subtle blue stripe is a nice option to have in your closet for workplace wear and it even has a bit of stretch for extra comfort.,Platinum Blue Stripes Easy Care Fitted Shirt,,75,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",008,JJV61XX,variant
008884304054M,008884304054M,Like our solid easy care shirts? Then you'll love our stripes too! This shirt also has built-in stretch for your comfort!,Platinum Red Stripes Easy Care Fitted Shirt,,75,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",010,JJ8WXXX,variant
008884304061M,008884304061M,Like our solid easy care shirts? Then you'll love our stripes too! This shirt also has built-in stretch for your comfort!,Platinum Red Stripes Easy Care Fitted Shirt,,75,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",012,JJ8WXXX,variant
008884304078M,008884304078M,Like our solid easy care shirts? Then you'll love our stripes too! This shirt also has built-in stretch for your comfort!,Platinum Red Stripes Easy Care Fitted Shirt,,75,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",014,JJ8WXXX,variant
008884304085M,008884304085M,Like our solid easy care shirts? Then you'll love our stripes too! This shirt also has built-in stretch for your comfort!,Platinum Red Stripes Easy Care Fitted Shirt,,75,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",016,JJ8WXXX,variant
008884304108M,008884304108M,Like our solid easy care shirts? Then you'll love our stripes too! This shirt also has built-in stretch for your comfort!,Platinum Red Stripes Easy Care Fitted Shirt,,75,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",006,JJ8WXXX,variant
008885004519M,008885004519M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",010,JJG28XX,variant
008885004526M,008885004526M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",012,JJG28XX,variant
008885004533M,008885004533M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",014,JJG28XX,variant
008885004540M,008885004540M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",016,JJG28XX,variant
008885004557M,008885004557M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",004,JJG28XX,variant
008885004564M,008885004564M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",006,JJG28XX,variant
008885004571M,008885004571M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",008,JJG28XX,variant
008885004830M,008885004830M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",010,JJI15XX,variant
008885004847M,008885004847M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",012,JJI15XX,variant
008885004854M,008885004854M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",014,JJI15XX,variant
008885004861M,008885004861M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",016,JJI15XX,variant
008885004878M,008885004878M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",004,JJI15XX,variant
008885004885M,008885004885M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",006,JJI15XX,variant
008885004892M,008885004892M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",008,JJI15XX,variant
008885005141M,008885005141M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",010,JJA70XX,variant
008885005158M,008885005158M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",012,JJA70XX,variant
008885005165M,008885005165M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",014,JJA70XX,variant
008885005172M,008885005172M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",016,JJA70XX,variant
008885005189M,008885005189M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",004,JJA70XX,variant
008885005196M,008885005196M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",006,JJA70XX,variant
008885005202M,008885005202M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,,59,USD,TRUE,,2025-07-10T11:20:56.000Z,"Size,Color",008,JJA70XX,variant
008885535488M,008885535488M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,,69,USD,TRUE,,2025-06-30T14:28:19.000Z,"Size,Color",010,JJ3WCXX,variant
008885535495M,008885535495M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,,69,USD,TRUE,,2025-06-30T14:28:19.000Z,"Size,Color",012,JJ3WCXX,variant
008885535518M,008885535518M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,,69,USD,TRUE,,2025-06-30T14:28:20.000Z,"Size,Color",016,JJ3WCXX,variant
008885535525M,008885535525M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,,69,USD,TRUE,,2025-06-30T14:28:19.000Z,"Size,Color",004,JJ3WCXX,variant
008885535532M,008885535532M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,,69,USD,TRUE,,2025-06-30T14:28:19.000Z,"Size,Color",006,JJ3WCXX,variant
008885535549M,008885535549M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,,69,USD,TRUE,,2025-06-30T14:28:19.000Z,"Size,Color",008,JJ3WCXX,variant
008885535556M,008885535556M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,,69,USD,TRUE,,2025-06-30T14:28:20.000Z,"Size,Color",010,JJM87XX,variant
008885535563M,008885535563M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,,69,USD,TRUE,,2025-06-30T14:28:19.000Z,"Size,Color",012,JJM87XX,variant
008885535587M,008885535587M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,,69,USD,TRUE,,2025-06-30T14:28:19.000Z,"Size,Color",016,JJM87XX,variant
008885535594M,008885535594M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,,69,USD,TRUE,,2025-06-30T14:28:19.000Z,"Size,Color",004,JJM87XX,variant
25493635M,25493635M,Our best selling jacket is updated in a salt and pepper tweed.  Pair it with the matching skirt and you are set to go from desk to dinner.,Fringe Trim Jacket,dresses,138.99,USD,TRUE,701642843405M;701642843399M;701642843351M;701642843412M;701642843382M;701642843368M;701642843375M;,2025-07-16T10:40:22.000Z,"Size,Color",,,master
25493646M,25493646M,A classic skirt in salt-and-pepper tweed looks new again.  Add the matching Commerce Cloud Store jacket for a perfect look from nine-to-five and beyond.,Wide Waist Pencil Skirt,dresses,75.99,USD,TRUE,701642843610M;701642843603M;701642843627M;701642843573M;701642843580M;701642843634M;701642843597M;,2025-07-16T10:37:36.000Z,"Size,Color",,,master
