SKU,ID,longDescription__default,name__default,category-id,amount,currency,onlineFlag__default,variants,lastModified_date,variation_attributes,size,color,product_kind
39287796-d9ab-4907-8b9b-c6ce2aabd483,39287796-d9ab-4907-8b9b-c6ce2aabd483,An enveloping mist that fragrances the hair with the floral notes of CHANCE. A sophisticated highly delicate way to revive and prolong the fragrance trail throughout the day.,CHANCE,skincare,690000,USD,TRUE,,27/05/25,,,,master
25448066M,25448066M,Brighten your day with this beautiful blue button clip-on earrings. Pair with a classic white scoop necklace and enjoy them all year round. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Light Hematite Button Clip-on Earrings,lighting,18,USD,TRUE,013742335484M;,15/04/25,Color,,,master
013742002881M,013742002881M,Update any outfit with these hoop earring. Pair with its matching stretch bangle to complete your look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch. ,Hoop Clip On Earring,jewelry,26,USD,TRUE,,15/04/25,Color,010,JJ887XX,variant
013742002898M,013742002898M,This chic gold necklace is a great way to lift your spirits. Elegant circular design with toggle necklace closure. Pair with a cardigan or dress. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch. ,Drop Necklace,jewelry,38,USD,TRUE,,15/04/25,Color,010,JJ887XX,variant
25448068M,25448068M,Brighten your day with this beautiful light hermatite dangle earrings. Pair with its matching earring and enjoy them all year round. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Light Hematite Dangle Earrings,lighting,24,USD,TRUE,013742335514M;,15/04/25,Color,,,master
013742002928M,013742002928M,Update any outfit with this stretch bangle. Pair with its matching stretch bangle to complete your look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch. ,Gold Stretch Bangle,jewelry,38,USD,TRUE,,15/04/25,Color,010,JJ887XX,variant
013742002997M,013742002997M,Dress any outfit up with this stretch bracelet in worn silver. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Infinity Stretch Worn Silver Bracelet,jewelry,40,USD,TRUE,,15/04/25,Color,010,JJG03XX,variant
013742003031M,013742003031M,This classic styled button earring is the perfect way to update your wardrobe. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Gold Button Earring,jewelry,20,USD,TRUE,,15/04/25,Color,010,JJ887XX,variant
013742003048M,013742003048M,Pair with matching earring for a complete look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Worn Gold Stretch Bracelet,jewelry,38,USD,TRUE,,15/04/25,Color,010,JJ887XX,variant
11736753M,11736753M,70% cotton 30% polyestershort bomber jacketstand up collar with tab and button detailingfront zip closurestrip elastic hem detailingdry clean only,Summer Bomber Jacket,furniture,315,USD,TRUE,883360541099M;883360541075M;883360541068M;883360541082M;883360541112M;883360541105M;,27/05/25,"Size,Color",,,master
21736758M,21736758M,85% cotton 11% poly amid 4% elastanetwo-buttonhalf lineddouble vented with welt pocketsinside vertical pocketfunctional button cuffsdry clean only,Two Button Sport Coat,perfurme,475,USD,TRUE,883360541280M;883360541273M;883360541266M;883360541297M;883360541259M;883360541303M;883360541310M;,27/05/25,"Size,Color",,,master
008884303996M,008884303996M,Love our easy care solid shirting? Then give our stripes a try! This subtle blue stripe is a nice option to have in your closet for workplace wear and it even has a bit of stretch for extra comfort.,Platinum Blue Stripes Easy Care Fitted Shirt,perfurme,75,USD,TRUE,,16/05/25,"Size,Color",012,JJV61XX,variant
008884304009M,008884304009M,Love our easy care solid shirting? Then give our stripes a try! This subtle blue stripe is a nice option to have in your closet for workplace wear and it even has a bit of stretch for extra comfort.,Platinum Blue Stripes Easy Care Fitted Shirt,perfurme,99.99,USD,TRUE,,16/05/25,"Size,Color",014,JJV61XX,variant
008884304016M,008884304016M,Love our easy care solid shirting? Then give our stripes a try! This subtle blue stripe is a nice option to have in your closet for workplace wear and it even has a bit of stretch for extra comfort.,Platinum Blue Stripes Easy Care Fitted Shirt,perfurme,75,USD,TRUE,,16/05/25,"Size,Color",16,JJV61XX,variant
008884304023M,008884304023M,Love our easy care solid shirting? Then give our stripes a try! This subtle blue stripe is a nice option to have in your closet for workplace wear and it even has a bit of stretch for extra comfort.,Platinum Blue Stripes Easy Care Fitted Shirt,perfurme,75,USD,TRUE,,27/05/25,"Size,Color",004,JJV61XX,variant
008884304030M,008884304030M,Love our easy care solid shirting? Then give our stripes a try! This subtle blue stripe is a nice option to have in your closet for workplace wear and it even has a bit of stretch for extra comfort.,Platinum Blue Stripes Easy Care Fitted Shirt,perfurme,75,USD,TRUE,,27/05/25,"Size,Color",006,JJV61XX,variant
008884304047M,008884304047M,Love our easy care solid shirting? Then give our stripes a try! This subtle blue stripe is a nice option to have in your closet for workplace wear and it even has a bit of stretch for extra comfort.,Platinum Blue Stripes Easy Care Fitted Shirt,perfurme,75,USD,TRUE,,16/05/25,"Size,Color",008,JJV61XX,variant
008884304054M,008884304054M,Like our solid easy care shirts? Then you'll love our stripes too! This shirt also has built-in stretch for your comfort!,Platinum Red Stripes Easy Care Fitted Shirt,perfurme,75,USD,TRUE,,27/05/25,"Size,Color",010,JJ8WXXX,variant
008884304061M,008884304061M,Like our solid easy care shirts? Then you'll love our stripes too! This shirt also has built-in stretch for your comfort!,Platinum Red Stripes Easy Care Fitted Shirt,perfurme,75,USD,TRUE,,27/05/25,"Size,Color",012,JJ8WXXX,variant
008884304078M,008884304078M,Like our solid easy care shirts? Then you'll love our stripes too! This shirt also has built-in stretch for your comfort!,Platinum Red Stripes Easy Care Fitted Shirt,perfurme,75,USD,TRUE,,27/05/25,"Size,Color",014,JJ8WXXX,variant
008884304085M,008884304085M,Like our solid easy care shirts? Then you'll love our stripes too! This shirt also has built-in stretch for your comfort!,Platinum Red Stripes Easy Care Fitted Shirt,perfurme,75,USD,TRUE,,27/05/25,"Size,Color",016,JJ8WXXX,variant
008884304108M,008884304108M,Like our solid easy care shirts? Then you'll love our stripes too! This shirt also has built-in stretch for your comfort!,Platinum Red Stripes Easy Care Fitted Shirt,perfurme,75,USD,TRUE,,27/05/25,"Size,Color",006,JJ8WXXX,variant
008885004519M,008885004519M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",010,JJG28XX,variant
008885004526M,008885004526M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",012,JJG28XX,variant
008885004533M,008885004533M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",014,JJG28XX,variant
008885004540M,008885004540M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",016,JJG28XX,variant
008885004557M,008885004557M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",004,JJG28XX,variant
008885004564M,008885004564M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",006,JJG28XX,variant
008885004571M,008885004571M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",008,JJG28XX,variant
008885004830M,008885004830M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",010,JJI15XX,variant
008885004847M,008885004847M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",012,JJI15XX,variant
008885004854M,008885004854M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",014,JJI15XX,variant
008885004861M,008885004861M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",016,JJI15XX,variant
008885004878M,008885004878M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",004,JJI15XX,variant
008885004885M,008885004885M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",006,JJI15XX,variant
008885004892M,008885004892M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",008,JJI15XX,variant
008885005141M,008885005141M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",010,JJA70XX,variant
008885005158M,008885005158M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",012,JJA70XX,variant
008885005165M,008885005165M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",014,JJA70XX,variant
008885005172M,008885005172M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",016,JJA70XX,variant
008885005189M,008885005189M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",004,JJA70XX,variant
008885005196M,008885005196M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",006,JJA70XX,variant
008885005202M,008885005202M,If you're a fan of our classic easy care fitted shirts then you'll love the new sleeveless option! This is the same great quality and ease of care with a new look!,No-Iron Platinum Easy Care Sleeveless Fitted Shirt,perfurme,59,USD,TRUE,,27/05/25,"Size,Color",008,JJA70XX,variant
008885535488M,008885535488M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,dresses,69,USD,TRUE,,27/05/25,"Size,Color",010,JJ3WCXX,variant
008885535495M,008885535495M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,dresses,69,USD,TRUE,,27/05/25,"Size,Color",012,JJ3WCXX,variant
008885535518M,008885535518M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,dresses,69,USD,TRUE,,27/05/25,"Size,Color",016,JJ3WCXX,variant
008885535525M,008885535525M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,dresses,69,USD,TRUE,,15/04/25,"Size,Color",004,JJ3WCXX,variant
008885535532M,008885535532M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,dresses,69,USD,TRUE,,25/04/25,"Size,Color",006,JJ3WCXX,variant
008885535549M,008885535549M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,dresses,69,USD,TRUE,,16/05/25,"Size,Color",008,JJ3WCXX,variant
008885535556M,008885535556M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,dresses,69,USD,TRUE,,16/05/25,"Size,Color",010,JJM87XX,variant
008885535563M,008885535563M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,dresses,69,USD,TRUE,,16/05/25,"Size,Color",012,JJM87XX,variant
008885535587M,008885535587M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,dresses,69,USD,TRUE,,16/05/25,"Size,Color",016,JJM87XX,variant
008885535594M,008885535594M,This is the perfect blouse for layering under suits and jackets--a true career essentials piece! The best part is you don't have to take it to the dry cleaners!,Must Have Washable No-Iron Georgette Blouse,dresses,69,USD,TRUE,,16/05/25,"Size,Color",004,JJM87XX,variant
013742333305M,013742333305M,The best silver earrings to add a subtle but elegant look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Hammered Silver Earrings,jewelry,20,USD,TRUE,,15/04/25,Color,000,WORSIML,variant
013742335200M,013742335200M,This necklace sits perfectly and looks great with a dark top. Pair with the matching stretch bracelet for a perfect look!,Chunky Dangle Necklace,jewelry,42,USD,TRUE,,25/04/25,Color,010,JJ169XX,variant
013742335262M,013742335262M,These earrings are sophisticated and fun. Looks great with a dark color shirt.,Worn Gold Dangle Earring,jewelry,20,USD,TRUE,,15/04/25,Color,010,JJB84A0,variant
013742335392M,013742335392M,This bracelet is great alone or pair with a matching necklace!,Worn Gold Stretch Bracelet,jewelry,34,USD,TRUE,,15/04/25,Color,010,JJB84A0,variant
013742335422M,013742335422M,Brighten your day with this beautiful blue button necklace. Pair with its matching earring and enjoy them all year round. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Light Hematite Necklace,jewelry,44,USD,TRUE,,15/04/25,Color,000,HEMATML,variant
013742335484M,013742335484M,Brighten your day with this beautiful blue button clip-on earrings. Pair with a classic white scoop necklace and enjoy them all year round. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Light Hematite Button Clip-on Earrings,jewelry,18,USD,TRUE,,15/04/25,Color,000,HEMATML,variant
25502108M,25502108M,Pair this 3/4 sleeve belted rib boat neck with one of our updated classic skirts.,Belted Boat Neck,furniture,58.99,USD,TRUE,701642887560M;701642887591M;701642887584M;701642887577M;,15/04/25,"Size,Color",,,master
22951021M,22951021M,Our classic wrap is a must have for topping outfits.  Try any one of our great colors to spice up your wardrobe!,Classic Wrap,perfurme,34,USD,TRUE,799927335059-1M;799927335059M;799927335042M;799927735422M;799927273078M;799927968851M;,27/05/25,Color,,,master
013742003192M,013742003192M,Brighten up your wrist with the colors of Spring. Enjoy this bracelet from day to night. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Green and Blue Stretch Bracelet,jewelry,36,USD,TRUE,,15/04/25,Color,010,JJG03XX,variant
013742003208M,013742003208M,Brighten up your neck with the colors of Spring. Enjoy this cluster drop necklace from day to night. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Cluster Drop Necklace,jewelry,30,USD,TRUE,,15/04/25,Color,010,JJG03XX,variant
013742003253M,013742003253M,The perfect accessory starts with an amazing earring and ends with a complete look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Pink and Gold Cluster Drop Earring,jewelry,26,USD,TRUE,,15/04/25,Color,010,JJD99XX,variant
013742003260M,013742003260M,Brighten your day with this beautiful blue and gold dangle earring. Enjoy them all year round. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Blue and Gold Clip On Earring,jewelry,24,USD,TRUE,,15/04/25,Color,010,JJ276XX,variant
013742003277M,013742003277M,Brighten your day with this beautiful green and gold dangle earring. Enjoy them all year round. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch ,Green and Gold Clip On Earring,jewelry,24,USD,TRUE,,15/04/25,Color,010,JJ900A0,variant
013742003307M,013742003307M,Commerce Cloud creates timeless classic jewelry that can be worn day or night. This amazing beaded necklace with wrapped design and toggle closure is a sure way to update your wardrobe. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch. ,Green and Gold Necklace,jewelry,36,USD,TRUE,,15/04/25,Color,010,JJ900A0,variant
013742003314M,013742003314M,Commerce Cloud creates timeless classic jewelry that can be worn day or night. This amazing beaded necklace with wrapped design and toggle closure is a sure way to update your wardrobe. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Pink and Gold Necklace,jewelry,36,USD,TRUE,,15/04/25,Color,010,JJD99XX,variant
013742003321M,013742003321M,Vintage inspired with an irresistibly modern twist. This chic necklace features strands of burnished chains accented with green and gold dangle stones. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,3 Strand Drop Necklace,jewelry,36,USD,TRUE,,15/04/25,Color,010,JJ276XX,variant
013742333299M,013742333299M,The best silver earrings to add a subtle but elegant look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Hammered Gold Earrings,jewelry,20,USD,TRUE,,15/04/25,Color,000,ANTGOML,variant
013742335514M,013742335514M,Brighten your day with this beautiful light hermatite dangle earrings. Pair with its matching earring and enjoy them all year round. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Light Hematite Dangle Earrings,perfurme,24,USD,TRUE,,27/05/25,Color,000,HEMATML,variant
013742335538M,013742335538M,Brighten your day with this beautiful blue button bracelet. Pair with its matching earring and enjoy them all year round. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Light Hematite Bracelet,perfurme,40,USD,TRUE,,27/05/25,Color,000,HEMATML,variant
029407331227M,029407331227M,This silk tie works well with a Commerce Cloud Store dress shirt and suit It's perfect for any occasion. ,Solid Silk Tie,perfurme,29.99,USD,TRUE,,27/05/25,Color,000,NAVYSI,variant
029407331258M,029407331258M,This silk tie works well with a Commerce Cloud Store dress shirt and suit It's perfect for any occasion. ,Solid Silk Tie,perfurme,29.99,USD,TRUE,,27/05/25,Color,000,REDSI,variant
029407331289M,029407331289M,This silk tie works well with a Commerce Cloud Store dress shirt and suit It's perfect for any occasion. ,Solid Silk Tie,perfurme,29.99,USD,TRUE,,27/05/25,Color,000,YELLOSI,variant
061492183572M,061492183572M,Grain deerskin leather|Water resistant and durable|Outseam machine sewn,Men's Classic Deer Gloves,accessories,99.99,USD,TRUE,,15/04/25,Size,050,,variant
061492183589M,061492183589M,Grain deerskin leather|Water resistant and durable|Outseam machine sewn,Men's Classic Deer Gloves,accessories,99.99,USD,TRUE,,15/04/25,Size,060,,variant
061492183596M,061492183596M,Grain deerskin leather|Water resistant and durable|Outseam machine sewn,Men's Classic Deer Gloves,accessories,99.99,USD,TRUE,,15/04/25,Size,080,,variant
061492215594M,061492215594M,Premium nubuck leather is water-repellant and durable for comfortable long-lasting wear|Reinforced leather palm patches protect hands and stand up to wear and tear|Hex eyelet and boot lace details coordinate with our premium boot styles|Lightweight moisture-wicking polyester lining keeps hands dry and comfortable all day long|Sizes: S = 8 - 8 1/2 M = 9 - 9 1/2 L = 10 - 10 1/2 XL = 11 - 11 1/2. (Measure around the knuckles with hand flat; exclude thumb. Number of inches equals glove size.),Unisex Boot II Gloves,handbags,,,TRUE,,15/04/25,"Size,Color",050,0001TG720754,variant
061492215617M,061492215617M,Premium nubuck leather is water-repellant and durable for comfortable long-lasting wear|Reinforced leather palm patches protect hands and stand up to wear and tear|Hex eyelet and boot lace details coordinate with our premium boot styles|Lightweight moisture-wicking polyester lining keeps hands dry and comfortable all day long|Sizes: S = 8 - 8 1/2 M = 9 - 9 1/2 L = 10 - 10 1/2 XL = 11 - 11 1/2. (Measure around the knuckles with hand flat; exclude thumb. Number of inches equals glove size.),Unisex Boot II Gloves,handbags,99.99,USD,TRUE,,15/04/25,"Size,Color",060,0001TG720754,variant
12416789M,12416789M,80% cotton 15% nylon 5% elastanestraight legclean cutfront rise 10 1/4 inchesback rise 14 3/4 inchesleg opening 15 1/2 inchesinseam 34 1/4 inchesmeasurements taken from a size 32dry clean only         ,Straight Leg Trousers,furniture,195,USD,TRUE,883360519722M;883360519678M;883360519715M;883360519685M;883360519739M;883360519708M;883360519692M;883360519760M;883360519753M;883360519746M;,27/05/25,"Size,Color",,,master
061492215624M,061492215624M,Premium nubuck leather is water-repellant and durable for comfortable long-lasting wear|Reinforced leather palm patches protect hands and stand up to wear and tear|Hex eyelet and boot lace details coordinate with our premium boot styles|Lightweight moisture-wicking polyester lining keeps hands dry and comfortable all day long|Sizes: S = 8 - 8 1/2 M = 9 - 9 1/2 L = 10 - 10 1/2 XL = 11 - 11 1/2. (Measure around the knuckles with hand flat; exclude thumb. Number of inches equals glove size.),Unisex Boot II Gloves,handbags,,,TRUE,,15/04/25,"Size,Color",080,0001TG720754,variant
